,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063684127,0,0,0.046662467,0.051009217,0,0,0.191241155,0.233274237,0.602783655,1.740059908,3.858978456,4.295792137,3.242747319,1.595150742,1.370426203,0.812193735,0.610585813,0.97771508,0.716554804,0.709502905,0.990844596,0.210456902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244253926,0,0,0,0,0,0,0.266382525,0,0,0.389829352,0.874374276,1.393007104,1.334382434,0.683936052,0.461862734,0.326991515,0.126155903,0.362368732,0.474071666,0.479544022,1.073710206,0,0.637257245,0.804084751,0.946252839,0.999630137,0.396031762,0.538578369,0.723514212,0.109191763,0.406983843,1.110144874,0.926440615,0.316085596,0,0.350637283
Arizona,0,0,0,0,0.173172168,0,0,0,0,0,0,0,0,0,0,0,0.135790231,0,0,0.137581861,0,0.144715706,0.219400488,0.246931871,0.401270307,2.088167053,3.08856459,2.860190322,1.058152374,0.601705836,0.047008828,0.337882071,0.298554569,0.544530194,0.474681667,1.092816553,0,0,0.637999234,0,0.322747224,0,0,0.540131792,0.619809099,0.643624895,0,0,0,1.085658452,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097167565,0.072720926,0,0,0.076884635,0.290113652,0.579434704,1.679763957,2.066803688,2.194583196,0.583972296,0.494404243,0.137848009,0.217503208,0.283035556,0.193999593,0.496635296,0,0.93835038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072619004,0.041894468,0.162279047,0.530577162,0.20291796,0.27600347,0.295955181,0,0,4.468545066,3.043584125,1.323013825,0,0.427642833,0,0,0,0,0.197761342,0.223733667,0.374791522,0.374833668,0,0.451375567,0.978914188,0,0,0.212575996,0.632644454,0.267687448,1.080637144,0.203736528,0,0.68026054,0.159895109
Colorado,0,0,0,0,0,0,0,0,0,0,0.06959814,0.118891927,0,0,0,0,0,0.086924398,0.188253898,0.041836103,0.073607078,0,0.176031545,0.262912971,1.659389935,2.108841799,3.755149248,3.287488143,1.24133884,0.600050186,0.659635441,0.279434982,0.362963232,0.489691984,0.287655963,0.100925487,0.147802182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0.352218093,0,0,0,0,0,0,0,0,0,0.136925341,0.109052443,0.052516871,0.122414004,0.185894338,0.610260513,1.446434539,2.078383396,2.781832231,2.419958054,0.797741351,0.170970858,0.340374838,0.223490323,0.434784327,0.752153038,0.699354753,0.529794307,0.415058316,0.381362073,0.363514751,0.862052451,1.012555691,0.866073538,0.669778906,1.048317926,1.500704177,1.302040949,1.94397645,1.398014819,0.179594476,0.914411119,0.297288727
Delaware,0,0,0,0,0,0,0,0,0,0,0,0.167833107,0,0,0,0,0.096635164,0,0.130350905,0,0.096445966,0.190645048,0.270650644,0.096028271,0.586785589,2.188996012,3.56214156,2.042188205,1.245462956,0.469094491,0.336217331,0.344777653,0.31707063,0.534986029,0.294366993,0.445117066,0.609904855,0.641889723,0.546119819,0,0,0,0,0,0.979192166,0,0,0,0,0,0
District of Columbia,0.200400802,0,0,0.477167534,0,0,0,0,0.188153835,0.102439074,0,0,0,0,0.049787656,0,0,0.083884173,0.23098289,0.178497055,0.129742914,0.091866169,0.551551699,0.274648744,3.199886226,5.896769676,5.170878379,3.473588323,1.742160279,0.539947833,0.744277874,0.439782003,0.662413969,1.550999306,0.722268185,0.74977132,0.466411217,0.596323839,0.6472073,0.824663791,0.780238129,1.060496505,0.762633721,0.629867155,0.827221801,0.654239603,0.843260813,0.553343798,0.496227294,0.296255599,0.38701987
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.782213509,1.391982183,0.442595379,0,0,1.564210856,0,0.549934008,0,0.458127176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777967948,4.804332635,21.8087644,1.435956347,0,0,0,0.430015051,1.54059467,0,0,3.684598379,0,0,3.949447077,0.992161921,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317870322,2.281542323,2.258866049,0,0,0,0,0,0,1.836210062,2.591344908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.103983445,4.448893338,7.248127567,2.492522433,0,0,0,0,0,1.438641922,0,0,0,0,0,0,0,0,0,0,0,5.032712632,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.136295663,3.900916715,2.067397147,4.305241632,1.717032967,0,0,0,0.986096046,1.40637086,0.483465481,0,0,29.85074627,0,6.942034016,1.501050736,0,1.215657671,0,5.165289256,0,0,0,4.108463435,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.085192698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.471093022,0,0,0,2.251069258,8.257638315,4.0123044,0.673083395,1.534801627,0,0,0,3.072668613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754489211,0,0,0,0,0,1.747946163,0.758495146,6.332453826,2.625705658,0,3.872216844,2.799813346,0.915415599,0,1.33306672,0,0.324664784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.986922893,3.697541135,1.592103168,0,0,0,0.674081564,0,1.608428164,0.299796139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37517821,0,0,0,0.479547307,0,0,3.408316292,3.474635163,0,0.465332713,0,0,0.472009818,0,0,0,0,0,0.917178758,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.689331869,3.576537911,1.829156759,0,0,0,1.07561579,0,1.08754758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,0,0,0.145996058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763358779,0.467420772,1.081034334,1.096130659,5.305039788,5.076340349,0.781657113,0.52246604,0,0.968054211,2.213123824,1.712231037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0.137680361,0,0,0,0,0,0.31736964,0,0,0,0,0,0.564365935,2.613695766,5.250262513,4.612242209,1.654670307,1.254154386,1.033431509,0.355732631,1.764991396,1.432801605,0.489931899,0,0,2.553626149,0,0,0,3.092145949,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814067079,0,0.437732545,0,0.557880056,0.835212562,2.03073174,3.994248282,2.788622421,5.482790131,0.659500099,0,0,1.087192868,0.829393713,1.011020119,0.614930513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,1.237317496,0,0,0,0,0,0,0,0,0,0,0,0,0.315099571,0,0,0,0,0,0,0,2.447081855,2.215084727,4.772130756,3.54568018,0.889838049,1.878757515,0.54200542,0.892379083,0,0.35244775,0.553250346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,1.004924128,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593371574,0,0.56119872,2.52652855,4.170141785,1.913509376,2.228495023,0,0,0,0,0,0.822368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055767762,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0.406628037,0,0.964320154,0,0,1.159151501,0,0,0,0,0,0,0.666666667,0.399984001,7.361059993,4.517639328,1.701451906,2.847988608,0.367444424,0.55869043,1.900057002,0,1.646677827,0,15.44004117,2.428953121,1.533977604,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382394555,0,1.715339423,2.510670349,1.398308047,2.353827323,1.097453907,0.798658254,0,0,0,0,0,0,0,1.295840352,2.250225023,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.484162896,1.567152484,3.040437823,3.918495298,1.367801942,0,0,1.307873398,0,0,1.648170531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0,0,0,0.667868831,0,0,0,0,0.106571179,0,0,0,0,0.071156145,0.152095881,0.541203637,0.838961366,2.897266344,4.170390229,3.451131971,6.191655553,1.17352527,0.804850566,0.746684044,0.593527582,0.89697929,1.626705708,0.928953627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.810572687,0,0,3.562945368,0,0,0,0,0,0.877116042,0,0,10.03009027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035411058,0,1.106255877,0.826104915,1.985801519,2.508990549,2.823263693,1.466347329,0,0,0,1.135976372,0.559268477,0,0,1.064169416,0,0,0,1.369300288,0,0,0,0,1.36369835,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
